time,x,y,z,qx,qy,qz,qw,err_x,err_y,err_z,err_qx,err_qy,err_qz,err_qw
1634068468961,4.91413,-3.91944,-1.2787,0.00914203,-0.00701896,0.637733,-0.770171,0,0,0,0,0,0,0
1634068469061,4.93404,-4.01466,-1.27885,0.00887209,-0.00703838,0.637737,-0.770171,0,0,0,0,0,0,0
1634068469161,4.95182,-4.11028,-1.27898,0.00849044,-0.00692395,0.637741,-0.770173,0,0,0,0,0,0,0
1634068469261,4.96796,-4.20916,-1.27907,0.00800796,-0.00668469,0.637746,-0.770176,0,0,0,0,0,0,0
1634068469361,4.98162,-4.30545,-1.27912,0.00747496,-0.00635201,0.63775,-0.770181,0,0,0,0,0,0,0
1634068469461,4.9934,-4.402,-1.27912,0.0068989,-0.00593957,0.637754,-0.770186,0,0,0,0,0,0,0
1634068469561,5.00372,-4.50173,-1.27907,0.00627829,-0.00544995,0.637758,-0.770192,0,0,0,0,0,0,0
1634068469661,5.01213,-4.59872,-1.27897,0.00567931,-0.00494739,0.637762,-0.770196,0,0,0,0,0,0,0
1634068469761,5.01907,-4.69589,-1.27886,0.00555217,-0.00503818,0.637763,-0.770196,0,0,0,0,0,0,0
1634068469861,5.02457,-4.79321,-1.27876,0.0057483,-0.00558335,0.637763,-0.770191,0,0,0,0,0,0,0
1634068469961,5.02862,-4.89359,-1.27871,0.00606686,-0.00634765,0.63776,-0.770185,0,0,0,0,0,0,0
1634068470061,5.03084,-4.99108,-1.27871,0.00636812,-0.00712775,0.637757,-0.770178,0,0,0,0,0,0,0
1634068470161,5.03121,-5.08857,-1.27876,0.00660151,-0.00785627,0.637755,-0.770171,0,0,0,0,0,0,0
1634068470261,5.02961,-5.18603,-1.27886,0.006746,-0.00849263,0.637754,-0.770164,0,0,0,0,0,0,0
1634068470361,5.02578,-5.28633,-1.279,0.00678846,-0.00901026,0.637753,-0.770158,0,0,0,0,0,0,0
1634068470461,5.01986,-5.38353,-1.27916,0.00673204,-0.00937149,0.637753,-0.770154,0,0,0,0,0,0,0
1634068470561,5.01172,-5.48052,-1.27934,0.00659218,-0.00959221,0.637755,-0.770152,0,0,0,0,0,0,0
1634068470661,5.00135,-5.57725,-1.27951,0.00637064,-0.00964843,0.637758,-0.77015,0,0,0,0,0,0,0
1634068470761,4.98835,-5.67661,-1.27967,0.00606811,-0.0095254,0.637761,-0.770151,0,0,0,0,0,0,0
1634068470861,4.97355,-5.77272,-1.27979,0.0057171,-0.00924642,0.637766,-0.770154,0,0,0,0,0,0,0
1634068470961,4.95667,-5.86848,-1.27987,0.00532878,-0.00883582,0.637771,-0.770157,0,0,0,0,0,0,0
1634068471061,4.93783,-5.9639,-1.27991,0.00491699,-0.00831856,0.637776,-0.770161,0,0,0,0,0,0,0
1634068471161,4.91649,-6.06185,-1.2799,0.00448168,-0.00769708,0.637781,-0.770166,0,0,0,0,0,0,0
1634068471261,4.89407,-6.15658,-1.27984,0.00405826,-0.00703268,0.637785,-0.770172,0,0,0,0,0,0,0
1634068471361,4.8701,-6.251,-1.27973,0.0036569,-0.00636581,0.637789,-0.770176,0,0,0,0,0,0,0
1634068471461,4.84473,-6.34512,-1.27961,0.00351011,-0.00641685,0.63779,-0.770176,0,0,0,0,0,0,0
1634068471561,4.81714,-6.44175,-1.2795,0.00351967,-0.00702325,0.637789,-0.770171,0,0,0,0,0,0,0
1634068471661,4.78888,-6.53515,-1.27944,0.00357045,-0.0078288,0.637787,-0.770165,0,0,0,0,0,0,0
1634068471761,4.75902,-6.62807,-1.27943,0.00360358,-0.00866979,0.637785,-0.770157,0,0,0,0,0,0,0
1634068471861,4.72647,-6.7232,-1.27947,0.00358725,-0.00945622,0.637783,-0.770149,0,0,0,0,0,0,0
1634068471961,4.69302,-6.81485,-1.27956,0.00351792,-0.0100973,0.637782,-0.770143,0,0,0,0,0,0,0
